Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Carlingford,C7 - AFFNI73,Oysters,,,,,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,,,,,Open,
Carlingford,C11 - AFFNI84,Oysters,,,,,Open,
Carlingford,Narrow Water - Wild Fishery             ,Oysters,,,,,Open,
Carlingford,C1 - AFFNI27,Mussels,,,,,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,,,,,OPEN,
Dundrum Bay,Inner South - DB2 - AFFNI95B,Mussels,,,,,OPEN,
Killough,K1 - AFFNI18,Oysters/Mussels,,,,,Oysters Open/ Mussels dormant 01/01/2020,
Larne Lough,L3 - AFFNI88,Oysters,,,,,Open,
Lough Foyle,Production Area 3 ,Mussels/ Oysters,,,,,Open,Sample delayed due to staffing issues at the Loughs Agency
Lough Foyle,Production Area 4 ,Mussels/ Oysters,,,,,Open,Sample delayed due to staffing issues at the Loughs Agency
Strangford,S2 - AFFNI42,Mussels,2021-01-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S7 - AFFNI76,Mussels/ Oysters,,,,,Oysters Open/Mussels de-classified 01/01/2020,
