Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-01-27,No harmful species,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-02,No harmful species,420,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B1 - AFFNI55,Mussels,2020-02-12,No harmful species,140,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-24,20,160,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-09,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-16,No harmful species,80,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-23,No harmful species,560,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-03-30,No harmful species,1000,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,2020-04-27,No harmful species,No harmful species,20,Open,
Belfast,B1 - AFFNI55,Mussels,2020-05-12,No harmful species,60,No harmful species,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B1 - AFFNI55,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-20,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-01-27,No harmful species,240,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B3 - AFFNI50,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-02-24,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-09,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-16,No harmful species,100,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-23,No harmful species,720,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-03-30,No harmful species,820,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-04-27,No harmful species,No harmful species,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,2020-05-12,No harmful species,260,No harmful species,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B3 - AFFNI50,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-20,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-01-27,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-02,No harmful species,100,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B12 - AFFNI54,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-02-24,No harmful species,320,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-02,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-09,No harmful species,80,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-16,No harmful species,220,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-23,No harmful species,1360,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-03-30,No harmful species,1460,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-04-27,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,2020-05-12,No harmful species,300,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B12 - AFFNI54,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-06,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-20,No harmful species,240,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-01-27,No harmful species,100,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-02,No harmful species,80,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-10,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B20 - AFFNI53,Mussels,2020-02-12,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-17,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-02-24,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-02,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-09,No harmful species,40,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-16,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-23,No harmful species,920,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-03-30,No harmful species,1180,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-04-15,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,2020-04-27,No harmful species,No harmful species,20,Open,
Belfast,B20 - AFFNI53,Mussels,2020-05-12,No harmful species,760,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
Belfast,B20 - AFFNI53,Mussels,,,,,Open,
